title,img_src,page,author,publisher,original price,sale price
"따뜻하게, 다시 세트(전2권)",https://bookthumb-phinf.pstatic.net/cover/163/132/16313203.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16313203, 채현진,플레이블(예원북스),"24,000원","21,600원(-10%)"
우아한 야만의 바다 세트(전2권),https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16324215, 틸다킴,퀸즈셀렉션,"23,000원","20,700원(-10%)"
아는 사람만 아는 배우 공상표의 필모그래피(오늘의 젊은 작가 26)(양장본 HardCover),https://bookthumb-phinf.pstatic.net/cover/163/455/16345580.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345580, 김병운,민음사,"14,000원","12,600원(-10%)"
리그 오브 레전드: 공식 스토리북,https://bookthumb-phinf.pstatic.net/cover/163/400/16340081.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340081, 라이엇 게임즈,제우미디어,"29,800원","26,820원(-10%)"
적절한 균형(아시아 문학선 3),https://bookthumb-phinf.pstatic.net/cover/163/455/16345567.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345567, 로힌턴 미스트리,아시아,"28,000원","25,200원(-10%)"
악녀 카루나가 작아졌어요 4,https://bookthumb-phinf.pstatic.net/cover/163/392/16339219.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16339219, 문이경,동아,"12,000원","10,800원(-10%)"
브라질의 하룻밤,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340377, 문희,예원북스,"9,000원","8,100원(-10%)"
이세계 내가 가봤는데 별거 없더라. 13,https://bookthumb-phinf.pstatic.net/cover/163/457/16345778.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345778, 현철,파피루스,"8,000원","7,200원(-10%)"
언니가 남자 주인공을 주워 왔다 세트(한정판)(전5권),https://bookthumb-phinf.pstatic.net/cover/163/268/16326862.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16326862, 문시현,에이템포미디어,없음,없음
재혼 황후 3,https://bookthumb-phinf.pstatic.net/cover/163/306/16330680.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16330680, 알파타르트,해피북스투유,"14,000원","12,600원(-10%)"
언제까지나 쇼팽(양장본 HardCover),https://bookthumb-phinf.pstatic.net/cover/163/400/16340071.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340071, 나카야마 시치리,블루홀식스(블루홀6),"16,000원","14,400원(-10%)"
가룟 유다(지식을만드는지식 소설선집),https://bookthumb-phinf.pstatic.net/cover/163/411/16341118.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341118, 레오니트 안드레예프,지식을만드는지식,"12,800원","11,520원(-10%)"
당인리 : 대정전 후 두 시간,https://bookthumb-phinf.pstatic.net/cover/163/416/16341626.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341626, 우석훈,해피북스투유,"13,800원","12,420원(-10%)"
언니가 남자 주인공을 주워 왔다 1,https://bookthumb-phinf.pstatic.net/cover/163/268/16326855.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16326855, 문시현,에이템포미디어,"12,500원","11,250원(-10%)"
피와 뼈 3,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345352, 김성모,우주미디어,"6,000원","5,400원(-10%)"
동상기(지식을만드는지식 소설선집),https://bookthumb-phinf.pstatic.net/cover/163/411/16341120.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341120, 청옥당,지식을만드는지식,"12,800원","11,520원(-10%)"
언니가 남자 주인공을 주워 왔다 2,https://bookthumb-phinf.pstatic.net/cover/163/268/16326858.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16326858, 문시현,에이템포미디어,"12,500원","11,250원(-10%)"
재벌을 넘어 귀족으로 9,https://bookthumb-phinf.pstatic.net/cover/163/445/16344574.jpg?type=m1&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344574, 푸달,영상출판미디어(영상노트),"8,000원","7,200원(-10%)"
피와 뼈 4,https://ssl.pstatic.net/static/book/image/juvenile_pest_82X116.gif&udate=Fri May 08 22:07:40 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345353, 김성모,우주미디어,"6,000원","5,400원(-10%)"
신은 말하지 않는다,https://bookthumb-phinf.pstatic.net/cover/163/411/16341133.jpg?type=m1&udate=Fri May 08 22:07:41 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16341133, 전수일,청어,"13,000원","11,700원(-10%)"
