title,img_src,page,author,publisher,original price,sale price
15만번의 챌린저 13,https://bookthumb-phinf.pstatic.net/cover/163/490/16349061.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349061, 예정후,로크미디어,"8,000원","7,200원(-10%)"
계단 끝에 다락방,https://bookthumb-phinf.pstatic.net/cover/163/483/16348351.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348351, 김계현,부크크(Bookk),없음,"12,000원"
회귀자의 그랜드슬램 16,https://bookthumb-phinf.pstatic.net/cover/163/490/16349063.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16349063, mensol,로크미디어,"8,000원","7,200원(-10%)"
"같은 시간, 다른 장소",https://bookthumb-phinf.pstatic.net/cover/163/483/16348352.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348352, 김민경,부크크(Bookk),없음,"13,500원"
케미컬 연애학,https://bookthumb-phinf.pstatic.net/cover/163/483/16348361.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348361, 소상난소월,부크크(Bookk),없음,"9,000원"
HEIDI - 알프스 소녀 하이디 (영문원서),https://bookthumb-phinf.pstatic.net/cover/163/483/16348388.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16348388, 요하나 슈피리 (Johanna Spyri),부크크(Bookk),없음,"19,300원"
리옴빠,https://bookthumb-phinf.pstatic.net/cover/163/454/16345496.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345496, 유리 올레샤,미행,"17,000원","15,300원(-10%)"
카구야 프로젝트,https://bookthumb-phinf.pstatic.net/cover/163/403/16340354.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16340354, 원샨,아작,"14,800원","13,320원(-10%)"
"세 개의 단어, 그리고 십 분",https://bookthumb-phinf.pstatic.net/cover/163/425/16342511.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16342511, 박지현,아홉프레스,"14,000원","12,600원(-10%)"
엔딩 보게 해주세요,https://bookthumb-phinf.pstatic.net/cover/163/013/16301362.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16301362, 김보영,요다,"14,000원","12,600원(-10%)"
모팽 양(이삭줍기 환상문학 3),https://bookthumb-phinf.pstatic.net/cover/163/454/16345483.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16345483, 테오필 고티에,열림원,"15,000원","13,500원(-10%)"
닐라칸타 Nilakantha,https://bookthumb-phinf.pstatic.net/cover/163/435/16343546.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16343546, 장량,세니오,"18,000원","16,200원(-10%)"
오 헨리 단편선(2020년 리커버)(개정판),https://bookthumb-phinf.pstatic.net/cover/163/445/16344571.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16344571, 오 헨리,책만드는집,"12,800원","11,520원(-10%)"
"서른다섯, 다시 시작해",https://bookthumb-phinf.pstatic.net/cover/163/293/16329358.jpg?type=m1&udate=Fri May 08 22:07:38 KST 2020,http://book.naver.com/bookdb/book_detail.nhn?bid=16329358, 강혁모,마음세상,"13,200원","11,880원(-10%)"
